Channel,Energy (keV),Counts
354,145.88438,728
355,146.287995,747
356,146.69161,725
357,147.095225,745
358,147.49884,702
359,147.902455,724
360,148.30607,718
361,148.709685,771
362,149.1133,679
363,149.516915,750
364,149.92053,670
365,150.324145,684
366,150.72776,684
367,151.131375,689
368,151.53499,698
369,151.938605,633
370,152.34222,701
371,152.745835,687
372,153.14945,712
373,153.553065,667
374,153.95668,710
375,154.360295,689
376,154.76391,686
377,155.167525,677
378,155.57114,683
379,155.974755,681
380,156.37837,693
381,156.781985,669
382,157.1856,690
383,157.589215,640
384,157.99283,683
385,158.396445,673
386,158.80006,710
387,159.203675,677
388,159.60729,661
389,160.010905,672
390,160.41452,637
391,160.818135,640
392,161.22175,664
393,161.625365,649
394,162.02898,663
395,162.432595,690
396,162.83621,676
397,163.239825,678
398,163.64344,657
399,164.047055,661
400,164.45067,650
401,164.854285,571
402,165.2579,673
403,165.661515,667
404,166.06513,657
405,166.468745,671
406,166.87236,709
407,167.275975,629
408,167.67959,650
409,168.083205,669
410,168.48682,648
411,168.890435,630
412,169.29405,661
413,169.697665,666
414,170.10128,702
415,170.504895,692
416,170.90851,665
417,171.312125,667
418,171.71574,723
419,172.119355,716
420,172.52297,671
421,172.926585,659
422,173.3302,799
423,173.733815,743
424,174.13743,738
425,174.541045,769
426,174.94466,743
427,175.348275,796
428,175.75189,762
429,176.155505,733
430,176.55912,761
431,176.962735,741
432,177.36635,719
433,177.769965,750
434,178.17358,736
435,178.577195,725
436,178.98081,759
437,179.384425,702
438,179.78804,702
439,180.191655,687
440,180.59527,759
441,180.998885,693
442,181.4025,699
443,181.806115,680
444,182.20973,713
445,182.613345,692
446,183.01696,689
447,183.420575,700
448,183.82419,700
449,184.227805,734
450,184.63142,695
451,185.035035,654
452,185.43865,674
453,185.842265,640
454,186.24588,610
455,186.649495,688
456,187.05311,681
457,187.456725,672
458,187.86034,648
459,188.263955,639
460,188.66757,639
461,189.071185,621
462,189.4748,620
463,189.878415,594
464,190.28203,613
465,190.685645,590
466,191.08926,576
467,191.492875,593
468,191.89649,619
469,192.300105,582
470,192.70372,623
471,193.107335,646
472,193.51095,579
473,193.914565,585
474,194.31818,599
475,194.721795,604
476,195.12541,613
477,195.529025,570
478,195.93264,545
479,196.336255,554
480,196.73987,568
481,197.143485,538
482,197.5471,549
483,197.950715,540
484,198.35433,547
485,198.757945,558
486,199.16156,551
487,199.565175,520
488,199.96879,564
489,200.372405,534
490,200.77602,530
491,201.179635,538
492,201.58325,527
493,201.986865,540
494,202.39048,513
495,202.794095,519
496,203.19771,521
497,203.601325,481
498,204.00494,492
499,204.408555,503
500,204.81217,491
501,205.215785,510
502,205.6194,552
503,206.023015,502
504,206.42663,499
505,206.830245,477
506,207.23386,442
507,207.637475,491
508,208.04109,501
509,208.444705,497
510,208.84832,495
511,209.251935,441
512,209.65555,491
513,210.059165,475
514,210.46278,477
515,210.866395,415
516,211.27001,483
517,211.673625,458
518,212.07724,464
519,212.480855,458
520,212.88447,459
521,213.288085,482
522,213.6917,452
523,214.095315,475
524,214.49893,431
525,214.902545,431
526,215.30616,464
527,215.709775,415
528,216.11339,465
529,216.517005,429
530,216.92062,462
531,217.324235,445
532,217.72785,386
533,218.131465,441
534,218.53508,447
535,218.938695,403
536,219.34231,438
537,219.745925,451
538,220.14954,418
539,220.553155,419
540,220.95677,428
541,221.360385,421
542,221.764,438
543,222.167615,423
544,222.57123,402
545,222.974845,416
546,223.37846,394
547,223.782075,394
548,224.18569,399
549,224.589305,390
550,224.99292,426
551,225.396535,355
552,225.80015,390
553,226.203765,395
554,226.60738,396
555,227.010995,398
556,227.41461,382
557,227.818225,440
558,228.22184,404
559,228.625455,383
560,229.02907,390
561,229.432685,389
562,229.8363,357
563,230.239915,401
564,230.64353,356
565,231.047145,418
566,231.45076,384
567,231.854375,366
568,232.25799,381
569,232.661605,357
570,233.06522,381
571,233.468835,378
572,233.87245,366
573,234.276065,361
574,234.67968,382
575,235.083295,370
576,235.48691,373
577,235.890525,382
578,236.29414,373
579,236.697755,396
580,237.10137,375
581,237.504985,403
582,237.9086,342
583,238.312215,357
584,238.71583,349
585,239.119445,338
586,239.52306,397
587,239.926675,364
588,240.33029,366
589,240.733905,370
590,241.13752,376
591,241.541135,384
592,241.94475,368
593,242.348365,349
594,242.75198,372
595,243.155595,335
596,243.55921,367
597,243.962825,361
598,244.36644,381
599,244.770055,373
600,245.17367,343
601,245.577285,327
602,245.9809,355
603,246.384515,335
604,246.78813,345
605,247.191745,318
606,247.59536,348
607,247.998975,350
608,248.40259,337
609,248.806205,346
610,249.20982,357
611,249.613435,314
612,250.01705,350
613,250.420665,338
614,250.82428,356
615,251.227895,306
616,251.63151,369
617,252.035125,339
618,252.43874,365
619,252.842355,342
620,253.24597,381
621,253.649585,357
622,254.0532,322
623,254.456815,357
624,254.86043,334
625,255.264045,348
626,255.66766,359
627,256.071275,360
628,256.47489,343
629,256.878505,368
630,257.28212,364
631,257.685735,338
632,258.08935,364
633,258.492965,352
634,258.89658,331
635,259.300195,329
636,259.70381,331
637,260.107425,363
638,260.51104,319
639,260.914655,333
640,261.31827,340
641,261.721885,289
642,262.1255,349
643,262.529115,333
644,262.93273,328
645,263.336345,318
646,263.73996,305
647,264.143575,340
648,264.54719,348
649,264.950805,337
650,265.35442,345
651,265.758035,318
652,266.16165,322
653,266.565265,301
654,266.96888,333
655,267.372495,338
656,267.77611,329
657,268.179725,363
658,268.58334,301
659,268.986955,318
660,269.39057,328
661,269.794185,332
662,270.1978,307
663,270.601415,304
664,271.00503,332
665,271.408645,323
666,271.81226,345
667,272.215875,340
668,272.61949,305
669,273.023105,321
670,273.42672,278
671,273.830335,351
672,274.23395,298
673,274.637565,330
674,275.04118,327
675,275.444795,344
676,275.84841,300
677,276.252025,353
678,276.65564,319
679,277.059255,297
680,277.46287,307
681,277.866485,340
682,278.2701,325
683,278.673715,318
684,279.07733,331
685,279.480945,317
686,279.88456,321
687,280.288175,350
688,280.69179,347
689,281.095405,335
690,281.49902,310
691,281.902635,312
692,282.30625,342
693,282.709865,295
694,283.11348,301
695,283.517095,314
696,283.92071,305
697,284.324325,331
698,284.72794,311
699,285.131555,313
700,285.53517,336
701,285.938785,338
702,286.3424,333
703,286.746015,311
704,287.14963,359
705,287.553245,308
706,287.95686,343
707,288.360475,303
708,288.76409,344
709,289.167705,305
710,289.57132,313
711,289.974935,319
712,290.37855,352
713,290.782165,329
714,291.18578,343
715,291.589395,317
716,291.99301,318
717,292.396625,330
718,292.80024,313
719,293.203855,285
720,293.60747,326
721,294.011085,348
722,294.4147,319
723,294.818315,297
724,295.22193,299
725,295.625545,361
726,296.02916,335
727,296.432775,369
728,296.83639,332
729,297.240005,336
730,297.64362,313
731,298.047235,345
732,298.45085,326
733,298.854465,341
734,299.25808,338
735,299.661695,310
736,300.06531,331
737,300.468925,331
738,300.87254,340
739,301.276155,313
740,301.67977,292
741,302.083385,351
742,302.487,345
743,302.890615,344
744,303.29423,309
745,303.697845,317
746,304.10146,342
747,304.505075,307
748,304.90869,340
749,305.312305,316
750,305.71592,291
751,306.119535,342
752,306.52315,330
753,306.926765,319
754,307.33038,362
755,307.733995,313
756,308.13761,344
757,308.541225,343
758,308.94484,340
759,309.348455,350
760,309.75207,349
761,310.155685,343
762,310.5593,348
763,310.962915,342
764,311.36653,341
765,311.770145,356
766,312.17376,333
767,312.577375,345
768,312.98099,332
769,313.384605,330
770,313.78822,329
771,314.191835,328
772,314.59545,324
773,314.999065,319
774,315.40268,362
775,315.806295,331
776,316.20991,334
777,316.613525,359
778,317.01714,328
779,317.420755,307
780,317.82437,333
781,318.227985,332
782,318.6316,344
783,319.035215,348
784,319.43883,346
785,319.842445,340
786,320.24606,354
787,320.649675,331
788,321.05329,336
789,321.456905,345
790,321.86052,357
791,322.264135,356
792,322.66775,328
793,323.071365,359
794,323.47498,326
795,323.878595,360
796,324.28221,338
797,324.685825,338
798,325.08944,356
799,325.493055,355
800,325.89667,330
801,326.300285,341
802,326.7039,352
803,327.107515,320
804,327.51113,373
805,327.914745,355
806,328.31836,345
807,328.721975,348
808,329.12559,358
809,329.529205,333
810,329.93282,331
811,330.336435,351
812,330.74005,365
813,331.143665,373
814,331.54728,318
815,331.950895,314
816,332.35451,368
817,332.758125,338
818,333.16174,355
819,333.565355,346
820,333.96897,348
821,334.372585,358
822,334.7762,337
823,335.179815,347
824,335.58343,358
825,335.987045,347
826,336.39066,342
827,336.794275,324
828,337.19789,354
829,337.601505,323
830,338.00512,326
831,338.408735,285
832,338.81235,323
833,339.215965,278
834,339.61958,300
835,340.023195,302
836,340.42681,294
837,340.830425,281
838,341.23404,280
839,341.637655,316
840,342.04127,284
841,342.444885,254
842,342.8485,257
843,343.252115,275
844,343.65573,237
845,344.059345,252
846,344.46296,249
847,344.866575,247
848,345.27019,258
849,345.673805,224
850,346.07742,233
851,346.481035,219
852,346.88465,210
853,347.288265,224
854,347.69188,233
855,348.095495,198
856,348.49911,231
857,348.902725,238
858,349.30634,207
859,349.709955,194
860,350.11357,202
861,350.517185,235
862,350.9208,234
863,351.324415,244
864,351.72803,232
865,352.131645,232
866,352.53526,219
867,352.938875,198
868,353.34249,208
869,353.746105,207
870,354.14972,202
871,354.553335,212
872,354.95695,207
873,355.360565,198
874,355.76418,210
875,356.167795,192
876,356.57141,190
877,356.975025,195
878,357.37864,184
879,357.782255,208
880,358.18587,183
881,358.589485,201
882,358.9931,211
883,359.396715,193
884,359.80033,203
885,360.203945,190
886,360.60756,186
887,361.011175,183
888,361.41479,201
889,361.818405,213
890,362.22202,171
891,362.625635,201
892,363.02925,185
893,363.432865,172
894,363.83648,183
895,364.240095,171
896,364.64371,189
897,365.047325,170
898,365.45094,146
899,365.854555,174
900,366.25817,181
901,366.661785,188
902,367.0654,143
903,367.469015,199
904,367.87263,187
905,368.276245,191
906,368.67986,179
907,369.083475,168
908,369.48709,160
909,369.890705,178
910,370.29432,151
911,370.697935,159
912,371.10155,156
913,371.505165,182
914,371.90878,167
915,372.312395,150
916,372.71601,172
917,373.119625,157
918,373.52324,153
919,373.926855,167
920,374.33047,147
921,374.734085,182
922,375.1377,157
923,375.541315,169
924,375.94493,159
